corpus_id,filename,title,authors,year,topic,source_url,local_path,pages,sha256,has_tables,has_images,download_status,validation_status,retry_count,failure_reason
vision-003,2020_arXiv_DETR.pdf,End-to-End Object Detection with Transformers,Nicolas Carion et al.,2020,transformer-attention-vision-representation,https://arxiv.org/abs/2005.12872,rag-module/doc/evaluation-corpus/transformer-attention-vision-representation/2020_arXiv_DETR.pdf,26,d4b846bd44896e1d21527f48eddc422c263c9a4f8a3fa4be249750956882698d,True,True,cached,valid,0,
vision-004,2021_arXiv_Swin-Transformer.pdf,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,Ze Liu et al.,2021,transformer-attention-vision-representation,https://arxiv.org/abs/2103.14030,rag-module/doc/evaluation-corpus/transformer-attention-vision-representation/2021_arXiv_Swin-Transformer.pdf,14,dfdc7631fe2a35bb5892080b9c0eeadc4432d55cf1856f84bc88802efa877a7c,True,True,cached,valid,0,
vision-005,2021_arXiv_CLIP.pdf,Learning Transferable Visual Models From Natural Language Supervision,Alec Radford et al.,2021,transformer-attention-vision-representation,https://arxiv.org/abs/2103.00020,rag-module/doc/evaluation-corpus/transformer-attention-vision-representation/2021_arXiv_CLIP.pdf,48,6478b6e571a7d6fcd846d8ef77bfd60c285f1986abb8f475eedc43de403074f5,True,True,cached,valid,0,
vision-006,2023_arXiv_DINOv2.pdf,DINOv2: Learning Robust Visual Features without Supervision,Maxime Oquab et al.,2023,transformer-attention-vision-representation,https://arxiv.org/abs/2304.07193,rag-module/doc/evaluation-corpus/transformer-attention-vision-representation/2023_arXiv_DINOv2.pdf,32,3add205547f3ece5fb1ac7a91720aa9fabf02d9cde29a096643ff022449f3e91,True,True,cached,valid,0,
vision-007,2021_arXiv_Masked-Autoencoders.pdf,Masked Autoencoders Are Scalable Vision Learners,Kaiming He; Xinlei Chen; Saining Xie; Yanghao Li; Piotr Dollar; Ross Girshick,2021,transformer-attention-vision-representation,https://arxiv.org/abs/2111.06377,rag-module/doc/evaluation-corpus/transformer-attention-vision-representation/2021_arXiv_Masked-Autoencoders.pdf,14,1b490443925c72a2b7c770f90dd797e248729ae34a57e1abfe9ed36751c4cc5b,True,True,cached,valid,0,
vision-008,2022_arXiv_ConvNeXt.pdf,A ConvNet for the 2020s,Zhuang Liu et al.,2022,transformer-attention-vision-representation,https://arxiv.org/abs/2201.03545,rag-module/doc/evaluation-corpus/transformer-attention-vision-representation/2022_arXiv_ConvNeXt.pdf,15,1fde2340370d0eb8045bda97fc94da7adb2a7abe8e6ded1a473d22475b945e1a,True,False,cached,valid,0,
rag-001,2020_arXiv_RAG.pdf,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Patrick Lewis et al.,2020,rag-embedding-retrieval-reranking,https://arxiv.org/abs/2005.11401,rag-module/doc/evaluation-corpus/rag-embedding-retrieval-reranking/2020_arXiv_RAG.pdf,19,23e3249e9a1e75418d82efecab0ea8c4d033b89c93742f63208d47ce01f21233,True,True,cached,valid,0,
rag-002,2020_arXiv_DPR.pdf,Dense Passage Retrieval for Open-Domain Question Answering,Vladimir Karpukhin et al.,2020,rag-embedding-retrieval-reranking,https://arxiv.org/abs/2004.04906,rag-module/doc/evaluation-corpus/rag-embedding-retrieval-reranking/2020_arXiv_DPR.pdf,13,3e67fc1a9977715acf722d85f0b7d124b03715e975f6310a4d6c12094190912f,True,False,cached,valid,0,
rag-003,2020_arXiv_ColBERT.pdf,ColBERT: Efficient and Effective Passage Search via Contextualized Late Interaction over BERT,Omar Khattab; Matei Zaharia,2020,rag-embedding-retrieval-reranking,https://arxiv.org/abs/2004.12832,rag-module/doc/evaluation-corpus/rag-embedding-retrieval-reranking/2020_arXiv_ColBERT.pdf,10,2e487d9b96e3c2e5e286d843e98a066adc0442faa3a6e8ddbd1771221bf9ae14,True,True,cached,valid,0,
rag-004,2020_arXiv_REALM.pdf,REALM: Retrieval-Augmented Language Model Pre-Training,Kelvin Guu et al.,2020,rag-embedding-retrieval-reranking,https://arxiv.org/abs/2002.08909,rag-module/doc/evaluation-corpus/rag-embedding-retrieval-reranking/2020_arXiv_REALM.pdf,12,0ec1a7ab3de5514c6d3baa8af0322816d4ee7cd4c14b9f2c450cbc9da9e6b363,True,True,cached,valid,0,
rag-005,2022_arXiv_HyDE.pdf,Precise Zero-Shot Dense Retrieval without Relevance Labels,Luyu Gao et al.,2022,rag-embedding-retrieval-reranking,https://arxiv.org/abs/2212.10496,rag-module/doc/evaluation-corpus/rag-embedding-retrieval-reranking/2022_arXiv_HyDE.pdf,11,dc0ae3c5584ed146beee122e6a9ad9c48547dde048d53e9be8435d8f1d354531,True,False,cached,valid,0,
rag-006,2023_arXiv_Lost-in-the-Middle.pdf,Lost in the Middle: How Language Models Use Long Contexts,Nelson F. Liu et al.,2023,rag-embedding-retrieval-reranking,https://arxiv.org/abs/2307.03172,rag-module/doc/evaluation-corpus/rag-embedding-retrieval-reranking/2023_arXiv_Lost-in-the-Middle.pdf,18,653b29619eae2ae4b361d7bdcdc06db4bedcb1b0eabe31814036beca8c1af0b1,True,False,cached,valid,0,
rag-007,2023_arXiv_RAGAS.pdf,RAGAS: Automated Evaluation of Retrieval Augmented Generation,Shahul Es; Jithin James; Luis Espinosa-Anke; Steven Schockaert,2023,rag-embedding-retrieval-reranking,https://arxiv.org/abs/2309.15217,rag-module/doc/evaluation-corpus/rag-embedding-retrieval-reranking/2023_arXiv_RAGAS.pdf,8,6c24762a3f277fd120ed1adf34b01420ecf92f18ff6d1b5435fa0a09cb804ecb,True,False,cached,valid,0,
rag-008,2024_arXiv_BGE-M3.pdf,"M3-Embedding: Multi-Linguality, Multi-Functionality, Multi-Granularity Text Embeddings Through Self-Knowledge Distillation",Jianlv Chen et al.,2024,rag-embedding-retrieval-reranking,https://arxiv.org/abs/2402.03216,rag-module/doc/evaluation-corpus/rag-embedding-retrieval-reranking/2024_arXiv_BGE-M3.pdf,18,eb38e53565da260dc1f3d49708f45441936447a7f3c7d7ef025ff62ea3e1e575,True,True,cached,valid,0,
agent-001,2022_arXiv_Chain-of-Thought.pdf,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Jason Wei et al.,2022,llm-reasoning-agents-evaluation,https://arxiv.org/abs/2201.11903,rag-module/doc/evaluation-corpus/llm-reasoning-agents-evaluation/2022_arXiv_Chain-of-Thought.pdf,43,7d9f878c23b460e4566aa4ec9201b1abfb3b8faefb2b1356e411cb90fef72a12,True,True,cached,valid,0,
agent-002,2022_arXiv_ReAct.pdf,ReAct: Synergizing Reasoning and Acting in Language Models,Shunyu Yao et al.,2022,llm-reasoning-agents-evaluation,https://arxiv.org/abs/2210.03629,rag-module/doc/evaluation-corpus/llm-reasoning-agents-evaluation/2022_arXiv_ReAct.pdf,33,f285b0971ae4a790e402fb93966bed3adde2cf0a04977d08b2b40d6ab0cace69,True,False,cached,valid,0,
agent-003,2023_arXiv_Toolformer.pdf,Toolformer: Language Models Can Teach Themselves to Use Tools,Timo Schick et al.,2023,llm-reasoning-agents-evaluation,https://arxiv.org/abs/2302.04761,rag-module/doc/evaluation-corpus/llm-reasoning-agents-evaluation/2023_arXiv_Toolformer.pdf,17,6d7483d94653008e40c2058a1c22441c92e3713dae278b6361e8efc447c99522,True,False,cached,valid,0,
agent-004,2023_arXiv_Reflexion.pdf,Reflexion: Language Agents with Verbal Reinforcement Learning,Noah Shinn et al.,2023,llm-reasoning-agents-evaluation,https://arxiv.org/abs/2303.11366,rag-module/doc/evaluation-corpus/llm-reasoning-agents-evaluation/2023_arXiv_Reflexion.pdf,19,6059b6f89fea9959bd3dab553fbb97756a3dfb1b15e3cbab2fbf3ab6664333bd,True,False,cached,valid,0,
agent-005,2023_arXiv_Judging-LLM-as-a-Judge.pdf,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,Lianmin Zheng et al.,2023,llm-reasoning-agents-evaluation,https://arxiv.org/abs/2306.05685,rag-module/doc/evaluation-corpus/llm-reasoning-agents-evaluation/2023_arXiv_Judging-LLM-as-a-Judge.pdf,29,1574982845157569b85c1214bfa9987000384d7a5e3b5fbdcc5a29afec59cb81,True,True,cached,valid,0,
agent-006,2022_arXiv_HELM.pdf,Holistic Evaluation of Language Models,Percy Liang et al.,2022,llm-reasoning-agents-evaluation,https://arxiv.org/abs/2211.09110,rag-module/doc/evaluation-corpus/llm-reasoning-agents-evaluation/2022_arXiv_HELM.pdf,162,30970bda8958a1a8adf6a0a82feef9728331840288b7d2b49368bac87fd25f18,True,True,cached,valid,0,
agent-007,2021_arXiv_GSM8K.pdf,Training Verifiers to Solve Math Word Problems,Karl Cobbe et al.,2021,llm-reasoning-agents-evaluation,https://arxiv.org/abs/2110.14168,rag-module/doc/evaluation-corpus/llm-reasoning-agents-evaluation/2021_arXiv_GSM8K.pdf,22,a52417d8fcd006de882e3b404850e2cc4246815828897c18c6ce6c7a448985a4,True,True,cached,valid,0,
agent-008,2022_arXiv_Self-Consistency.pdf,Self-Consistency Improves Chain of Thought Reasoning in Language Models,Xuezhi Wang et al.,2022,llm-reasoning-agents-evaluation,https://arxiv.org/abs/2203.11171,rag-module/doc/evaluation-corpus/llm-reasoning-agents-evaluation/2022_arXiv_Self-Consistency.pdf,24,1a49ce0373afc89d2d6e97fb1aa8230f6b818c70590d732a3187f753f4df6aba,True,False,cached,valid,0,
